Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,10/7/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.89847716,86.63967611,82.53099927,79.63770547,79.92866407,74.38601095,70.99678377,64.56431358,62.73121324,64.66555851,68.07529819,64.59415265,65.06126254,65.52929507,62.91856347,60.21818609,69.75101276,73.1035458,76.54831163,78.27549368,72.85291285,71.82043501,72.54868983,72.25277396,73.23459154,52.99260437,70.74004363,87.57028036,88.34378628,
Africa Eastern and Southern,AFE,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.36965906,18.51400453,21.53443444,22.71536408,23.70986439,24.38547107,25.454561,24.55386558,24.87224845,24.7923104,25.59522478,27.25538674,27.79501982,25.51498677,25.69010417,27.6230275,29.57738633,31.94992795,35.56296394,27.30469388,29.52064399,31.43562032,29.95672414,29.19514981,28.60043958,24.07263194,23.25415118,23.94547361,25.30639984,23.92608024,22.04172225,25.88546352,27.46182152,26.40389334,25.87502292
Afghanistan,AFG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.42081714,14.3421528,18.3800424,16.85278812,
Africa Western and Central,AFW,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0849959,54.32133881,58.38035832,65.52626777,63.4678635,67.90578337,72.4750288,58.7573003,61.54311589,60.66994752,55.94013063,50.74708579,44.69502946,29.75459795,28.12448545,29.004102,40.83628983,40.79075505,38.31454074,47.74527597,44.3916421,40.83246624,37.88274281
Albania,ALB,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,23.95749191,23.81050666,20.07291791,18.85207514,18.04033143,16.82037257,15.60618013,16.02992184,16.97939413,18.59335346,15.40506383,7.484818725,12.49959149,15.97882981,11.98369435,12.26965123,11.49514502,10.04084924,11.22730382,16.47343344,19.5304709,20.61356662,20.17118593,20.16388038,21.55175222,22.44278184,24.50859193,27.13081991,24.58266192,24.64462446,27.60992967,29.0544738,29.11077094,28.86940201,28.06834349,27.06932246,28.66979317,31.00179579,31.11401354,30.93612249,22.54076327,31.13302234,37.19708182,38.66508083,36.1095622
Andorra,AND,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.96098604,39.25431624,42.5484573,47.45758338,52.1084081,53.69229412,53.6715475,56.64881978,46.15739466,48.69173349,52.91426853,54.32161596,52.44631725,48.6550001,40.49886319,37.78254161,41.9916024,44.61497883,42.3849285,35.88109752,41.60015689,47.95779014,47.28259869,
United Arab Emirates,ARE,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.15922533,49.50334738,55.92319922,63.56772981,67.58531139,68.62779767,72.3840975,78.8678887,79.65331786,79.39267346,87.53860245,97.63496338,98.00758609,97.25257065,96.82780563,97.66312109,97.85430603,93.71698102,96.85959993,100.2301589,102.4030841,103.8122523,108.6108714,
Argentina,ARG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,7.604049108,5.994946995,4.691842759,7.890454203,5.563715605,6.225874438,6.652917384,7.495596226,6.484453463,6.398713317,5.601566676,6.007232881,7.197765839,7.612667721,6.902570798,5.824051799,9.175388296,9.615892413,8.608389938,6.510915467,5.061972681,6.92104948,9.090493079,9.151520687,7.589895312,11.73609802,8.161977544,7.873205813,9.531612973,13.05840891,10.35953659,7.675043348,6.598187472,6.909351534,7.529948726,9.68041026,10.42859676,10.5608501,10.41558196,9.827174515,10.98637523,11.57900808,28.382597,25.93094293,23.84761942,23.24587673,23.0266946,22.66275031,22.06090038,19.56098506,18.93382341,18.44920915,16.23785946,14.61717339,14.40547859,10.70565205,12.52709517,11.32028336,14.43668575,17.92487838,16.60541444,18.06670917,16.24801444,12.74924578,15.33423374
Armenia,ARM,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.00298151,40.74538838,39.82075502,47.21897587,39.32803935,23.92792083,23.2400035,20.27326939,19.00301997,20.75824695,22.16141881,24.1458544,27.83210837,30.48299789,28.19074382,27.31319795,22.14598144,18.18935698,14.26572957,14.67090075,19.74841532,22.52318826,27.56181148,28.35348514,28.56038166,29.72539121,33.74427986,38.21604566,39.39289403,41.35080136,29.76498692,35.90643999,50.22498046,59.45208567,76.347118
American Samoa,ASM,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.171875,97.90076336,90.37328094,99.6,100.4056795,97.49034749,114.4642857,78.51851852,63.52530541,58.77192982,75.46875,71.78683386,66.718507,63.59583952,63.93442623,59.1503268,68.23161189,61.66924266,59.22330097,44.26666667,46.95752009,,
Antigua and Barbuda,ATG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.51074678,70.70449679,70.02409291,64.41600247,62.47054811,69.1646948,41.88596376,46.96121357,54.72376496,,
