Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,10/7/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.07843138,18.64864867,12.12984055,3.961401724,7.962871732,5.882353953,7.307693245,8.203901293,2.547143687,1.185788511,7.046874992,1.991984449,1.238041842,7.622920649,4.18200163,-0.944953481,1.110504599,7.293728071,-0.383137672,1.127411464,3.089544385,1.835755172,-11.67774137,-2.733456793,3.369237184,-1.040799884,6.431482604,-1.586575138,-0.623625902,1.71962498,7.048533386,2.3970862,-2.232442027,-26.21182021,24.13262736,8.517918105,4.263719415,
Africa Eastern and Southern,AFE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,0.469707762,7.868622623,5.622472406,4.689532682,5.159536159,4.822257719,5.373937732,4.153382546,5.091807446,1.135153669,5.479342401,2.771157842,4.606449701,5.475813272,1.404329111,2.382200809,1.120647532,1.508609071,2.930523349,5.464293183,4.014091183,0.315152685,0.03932852,3.365280432,-0.128036531,2.266004561,3.954523834,4.274110135,2.696342438,0.175867256,-0.095463673,-2.350160391,-0.599437722,1.932031406,4.282647641,5.454335031,3.841977108,1.7526294,2.649284603,3.212167483,3.505488062,3.83384814,2.952938513,5.554447755,6.16249335,6.577438603,6.646935047,4.366173103,0.892651361,5.207943441,4.058923272,1.767969542,4.317725168,4.014350558,3.003366929,2.195991207,2.696237829,2.665038075,2.200340433,-2.859783921,4.563568076,3.555768787,1.891307387,2.76680373
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.43197407,28.60000117,8.832277803,1.414117993,11.22971483,5.357403247,13.82631955,3.92498382,21.39052839,14.36244147,0.426354777,12.75228709,5.600744659,2.724543362,1.451314661,2.260314203,2.647003203,1.189228129,3.911603416,-2.351100672,-20.73883937,-6.240171992,2.266943736,
Africa Western and Central,AFW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,1.869636949,3.725940584,7.039190836,5.364761477,4.105615684,-1.512988574,-8.967442764,1.558993106,15.12719034,17.38253068,10.45327191,3.153187899,3.952264253,9.975607156,-2.077794875,8.394825216,4.551446622,-1.917930852,5.001669929,1.905790755,-6.701353592,-3.222916942,-6.252459038,0.541858154,5.394642678,1.337552001,1.429751907,4.679827543,1.72672657,5.696880313,1.06723219,2.350220071,-1.362644935,-0.283196443,1.859801349,4.629125904,4.403074625,3.623420346,1.528189458,3.842478629,5.207032619,9.968802114,5.597677402,8.094673111,5.912110881,5.355183698,5.50232869,6.276134511,6.125529167,7.032024723,4.946666245,5.140575577,6.02802289,5.712458523,2.92800961,0.194177489,2.296167547,2.904654375,3.282162998,-0.984117425,4.030000306,3.974963545,3.357986995,4.176102889
Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,-4.400001219,0,4.200001429,6.000002165,3.49999949,2.900001742,4.082748635,6.128890478,0.041621462,-3.450098685,0.991359302,-5.838280733,-23.98341744,1.339363436,15.00000003,13.54436976,7.274277355,4.691146451,2.181489718,3.054624234,4.205998556,13.66568876,2.99,10.95000001,15.02999999,11.55,14.01000001,11.16999999,0.860000002,4.398375938,3.472053148,8.542107076,4.954613031,4.82255927,0.943571561,-2.580049644,-0.147212941,-1.316361689,-0.702272958,-5.638214717,1.199210521,3.044726524,1.07809952,4.423904529
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,5.745635292,2.948596801,1.104938262,-1.251596644,1.780643959,5.637243179,-0.787842655,-1.420039656,9.836548972,-9.57564017,-28.00214165,-7.18711091,9.559411671,8.302866597,13.32233333,7.336328948,-11.71157328,8.310025204,12.2507282,7.462858718,8.86373066,4.628395874,5.33326426,5.266261739,5.130821931,6.01898124,6.500092612,6.907062307,2.690751524,2.973154427,2.463516839,0.98412988,1.707228318,2.240226954,2.227704075,3.908935514,3.283175933,3.671419281,2.062577902,-3.313756369,8.969576191,4.826696119,3.936616892,3.961719112
Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,4.649465356,8.149743527,7.788467245,5.618789627,0.54220567,3.303787053,2.838575569,1.46300017,0.041557223,2.208727611,-0.132474493,1.246461138,1.770118271,1.784686672,2.321433034,3.253321828,5.547122161,5.094326194,4.827034272,3.781387549,2.546003531,0.92921404,-1.03148439,2.383182248,2.757501613,4.649738668,9.067672051,3.194793393,4.099078922,3.528362361,8.119357722,4.546362214,8.694203716,8.135676338,5.397795985,4.808688699,1.553188141,-5.559186369,-5.302846543,-1.974958,-0.008069753,-4.974443719,-3.547596515,2.504465521,1.434140395,3.70967807,0.34607189,1.58876549,2.015547638,-11.18393994,8.28677879,9.564612256,2.58355481,3.371820326
Arab World,ARB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,6.78639793,10.78065351,7.454780448,22.94141067,7.489614294,13.95169275,13.32172862,10.52141565,-0.041293282,14.31951857,6.614441403,2.935368563,10.6526529,6.297067614,0.852189821,-5.988762534,-3.764753367,1.240728787,-0.846219395,-0.800575369,0.253742915,3.272482867,3.81828033,7.855519749,-0.693003784,6.560069121,3.257052342,3.358833651,2.799896063,4.820130816,5.449261178,4.761529503,2.775759909,6.346471293,2.095304264,1.220928036,4.300554403,9.075083089,5.571119928,6.28242617,4.599761962,5.568565669,0.642664296,4.837717215,3.786213062,5.098311625,2.65952311,2.589732858,3.294223489,3.549283519,1.604825896,2.642845209,1.726916137,-4.757144996,4.40457596,6.995413818,1.504355199,1.548919124
United Arab Emirates,ARE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,36.61237785,39.07963759,76.62015504,14.49804127,6.227401389,16.52685651,21.43933017,-1.58960332,20.92357308,23.87477491,4.659176674,-6.719316186,-4.7458207,4.01695128,-3.594476517,-14.95813656,3.381981709,-2.618907704,12.33789128,18.32798553,0.860081948,3.344944858,1.261190946,6.896148553,6.68788646,5.798404069,8.190398649,0.291994342,2.90221364,10.85270422,1.399085037,2.433456811,8.800540814,9.566436638,4.855141196,9.837319769,3.184390173,3.191836273,-5.242921904,1.602850047,6.216121817,1.824480785,5.055559658,4.165691841,6.786772877,5.56149076,0.735068714,1.313913882,1.108348135,-4.957052433,4.354755297,7.509697035,3.618706531,3.761615446
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,5.427842876,-0.852021522,-5.308196825,10.13029766,10.56943334,-0.659726171,3.191996623,4.822500779,9.679526011,3.045643319,5.658131082,1.628416518,2.811754038,5.533804396,-0.028412104,-2.018251517,6.934147757,-4.506124802,10.22276346,1.51878395,-5.189789141,-0.735659159,4.349093279,1.570738702,-5.189024353,6.153377063,2.704868828,-1.089933341,-7.156949656,-2.467213778,9.133110567,7.937291556,8.206979072,5.836200704,-2.845209611,5.526689827,8.111046771,3.850178852,-3.385457041,-0.788998939,-4.408839683,-10.89448483,8.837040796,9.029573301,8.85165992,8.0471515,9.007650875,4.057233103,-5.918525076,10.12539816,6.003951693,-1.026420454,2.405323781,-2.512615321,2.731159828,-2.080327844,2.818502978,-2.617396463,-2.000861003,-9.900484814,10.44181199,5.269879674,-1.611001621,-1.719105147
